PDB, Chain, CATH, Length, Interaction Energy, Min. F(k), Single/Multi, Suggested K, FINAL
1jhd, A, 2, 396 , 0.24, 0.773 , Single , 1, 
2prg, A, 1, 271 , 0.269, 0.787 , Single , 1, 
1h7z, A, 1, 191 , 0.262, 0.769 , Single , 1, 
1c2a, A, 2, 120 , 0.142, 0.643 , Single , 2, 
1a0p, A, 2, 271 , 0.125, 0.716 , Multi , 2, 
1aol, A, 1, 228 , 0.254, 0.809 , Single , 1, 
1b13, A, 1, 54 , 0.315, 0.868 , Single , 1, 
1e6i, A, 1, 110 , 0.364, 0.742 , Single , 2, 
1b8q, A, 1, 127 , 0.181, 0.787 , Single , 1, 
1ckv, A, 1, 141 , 0.021, 0.597 , Single , 2, 
2hxv, A, 2, 349 , 0.083, 0.601 , Multi , 2, 
1a85, A, 1, 158 , 0.367, 0.919 , Single , 1, 
1qoy, A, 1, 303 , 0.129, 0.436 , Multi , 2, 
1z60, A, 1, 59 , 0.559, 0.795 , Single , 1, 
1f3y, A, 1, 165 , 0.267, 0.826 , Single , 1, 
1e9t, A, 1, 59 , 0.203, 0.748 , Single , 2, 
1fm0, D, 1, 81 , 0.333, 0.857 , Single , 1, 
1cma, A, 1, 104 , 0.279, 0.817 , Single , 1, 
1dl5, A, 2, 317 , 0.24, 0.657 , Single , 2, 
1g8t, A, 1, 242 , 0.36, 0.874 , Single , 1, 
1be3, B, 2, 419 , 0.112, 0.714 , Multi , 2, 
1cr8, A, 1, 42 , 0.381, 0.739 , Single , 2, 
1jov, A, 1, 281 , 0.352, 0.883 , Single , 1, 
1y7b, A, 2, 534 , 0.15, 0.721 , Multi , 2, 
1rv1, A, 1, 85 , 0.294, 0.777 , Single , 1, 
1fa0, A, 3, 509 , 0.108, 0.808 , Multi , 3, 
1dhs, A, 1, 344 , 0.195, 0.815 , Multi , 1, 
1k8w, A, 2, 310 , 0.139, 0.683 , Multi , 2, 
1avp, A, 1, 204 , 0.338, 0.873 , Single , 1, 
1a5y, A, 1, 283 , 0.187, 0.812 , Multi , 1, 
1j1h, A, 1, 123 , 0.398, 0.765 , Single , 1, 
1ija, A, 1, 148 , 0.432, 0.920 , Single , 3, 
2o8r, B, 4, 589 , 0.032, 0.729 , Multi , 2, 
1ddt, A, 3, 523 , 0.119, 0.583 , Multi , 3, 
1r7l, A, 1, 103 , 0.204, 0.784 , Single , 1, 
2aj7, A, 1, 161 , 0.261, 0.819 , Single , 1, 
1ssl, A, 1, 48 , 0.333, 0.830 , Single , 1, 
1fgs, A, 2, 393 , 0.117, 0.802 , Multi , 3, 
1jid, A, 1, 114 , 0.333, 0.786 , Single , 1, 
1pcp, A, 2, 106 , 0.094, 0.538 , Single , 2, 
1c8z, A, 1, 284 , 0.345, 0.923 , Single , 3, 
2gmq, A, 1, 106 , 0.481, 0.809 , Single , 1, 
1dvk, A, 1, 149 , 0.362, 0.885 , Single , 3, 
2jne, A, 1, 71 , 0.254, 0.568 , Single , 2, 
1bw3, A, 1, 125 , 0.32, 0.841 , Single , 1, 
1ehs, A, 1, 48 , 0.438, 0.603 , Single , 2, 
1a73, A, 1, 162 , 0.179, 0.737 , Single , 2, 
1fqt, A, 1, 113 , 0.31, 0.815 , Single , 1, 
1j1z, B, 2, 386 , 0.189, 0.749 , Multi , 2, 
1abw, A, 2, 285 , 0.046, 0.607 , Multi , 2, 
1oxw, A, 1, 349 , 0.309, 0.918 , Single , 1, 
1oqv, A, 1, 171 , 0.363, 0.869 , Single , 1, 
1acm, A, 2, 310 , 0.148, 0.767 , Multi , 1, 
1dw9, A, 2, 152 , 0.039, 0.725 , Single , 2, 
1mp1, A, 1, 111 , 0.369, 0.858 , Single , 1, 
1b8z, A, 1, 67 , 0.149, 0.670 , Single , 2, 
1am2, A, 1, 181 , 0.304, 0.756 , Single , 1, 
2hi7, A, 1, 188 , 0.213, 0.717 , Single , 2, 
1c5e, A, 1, 95 , 0.432, 0.847 , Single , 1, 
1a2i, A, 1, 107 , 0.243, 0.850 , Single , 3, 
1rrz, A, 1, 66 , 0.348, 0.777 , Single , 1, 
2isb, A, 1, 190 , 0.368, 0.874 , Single , 1, 
1dt4, A, 1, 73 , 0.479, 0.783 , Single , 1, 
1ln0, A, 1, 92 , 0.359, 0.796 , Single , 1, 
1sox, A, 3, 463 , 0.22, 0.867 , Single , 3, 
1bor, A, 1, 56 , 0.429, 0.882 , Single , 4, 
1cn3, A, 1, 283 , 0.201, 0.722 , Single , 2, 
1hn0, A, 4, 971 , 0.06, 0.613 , Multi , 2, 
1a33, A, 1, 174 , 0.437, 0.919 , Single , 3, 
1bow, A, 1, 143 , 0.336, 0.874 , Single , 1, 
1ad6, A, 1, 185 , 0.346, 0.856 , Single , 1, 
1aja, A, 1, 435 , 0.237, 0.863 , Single , 1, 
1adr, A, 1, 76 , 0.434, 0.816 , Single , 1, 
1j3m, A, 1, 127 , 0.37, 0.719 , Single , 2, 
1y0k, A, 1, 180 , 0.267, 0.841 , Single , 1, 
1so9, A, 1, 131 , 0.229, 0.584 , Single , 2, 
1hd8, A, 2, 337 , 0.095, 0.664 , Multi , 2, 
1gtd, A, 1, 76 , 0.211, 0.518 , Single , 2, 
1fw9, A, 1, 164 , 0.256, 0.864 , Single , 1, 
1b2p, A, 1, 119 , 0.261, 0.790 , Single , 3, 
1a2z, A, 1, 220 , 0.436, 0.890 , Single , 3, 
1g57, A, 1, 205 , 0.38, 0.833 , Single , 1, 
1f02, I, 3, 282 , 0.089, 0.370 , Multi , 2, 
1nyc, A, 1, 111 , 0.369, 0.889 , Single , 4, 
1bh3, A, 1, 289 , 0.197, 0.874 , Multi , 1, 
1a6e, A, 3, 503 , 0.113, 0.593 , Multi , 2, 
1b0y, A, 1, 85 , 0.424, 0.814 , Single , 1, 
1dm9, A, 1, 104 , 0.231, 0.734 , Single , 2, 
11as, A, 1, 327 , 0.266, 0.892 , Single , 1, 
1n81, A, 1, 186 , 0.333, 0.805 , Single , 1, 
1occ, A, 1, 514 , 0.265, 0.819 , Single , 1, 
1jr5, A, 1, 90 , 0.422, 0.897 , Single , 3, 
1lm5, A, 1, 189 , 0.206, 0.768 , Single , 1, 
1mzg, A, 1, 140 , 0.243, 0.835 , Single , 1, 
101m, A, 1, 154 , 0.396, 0.791 , Single , 3, 
1txo, A, 1, 230 , 0.365, 0.902 , Single , 3, 
1ilv, A, 1, 235 , 0.226, 0.919 , Single , 4, 
1a1f, A, 3, 84 , 0.202, 0.600 , Single , 2, 
1wfe, A, 1, 86 , 0.035, 0.541 , Single , 2, 
1aro, L, 1, 149 , 0.302, 0.878 , Single , 1, 
1gwy, A, 1, 175 , 0.343, 0.866 , Single , 1, 
1bcc, D, 2, 241 , 0.046, 0.632 , Multi , 2, 
1d9n, A, 1, 75 , 0.347, 0.811 , Single , 1, 
1aun, A, 1, 208 , 0.245, 0.812 , Single , 3, 
1ap8, A, 1, 213 , 0.014, 0.684 , Multi , 2, 
1ttu, A, 3, 435 , 0.074, 0.674 , Multi , 2, 
1bkj, A, 1, 230 , 0.074, 0.815 , Multi , 3, 
1nij, A, 2, 317 , 0.215, 0.751 , Single , 1, 
1iu4, A, 1, 331 , 0.211, 0.794 , Single , 3, 
1b66, A, 1, 138 , 0.333, 0.631 , Single , 2, 
1ehk, A, 1, 544 , 0.268, 0.881 , Single , 1, 
1aj3, A, 1, 98 , 0.296, 0.538 , Single , 2, 
1ame, A, 1, 66 , 0.53, 0.852 , Single , 1, 
1c3q, A, 1, 284 , 0.236, 0.906 , Single , 3, 
2nwt, A, 1, 69 , 0.043, 0.281 , Single , 2, 
1h8e, D, 3, 467 , 0.133, 0.676 , Multi , 2, 
1ae9, A, 1, 171 , 0.444, 0.864 , Single , 1, 
1edx, A, 1, 40 , 0.575, 0.812 , Single , 4, 
155c, A, 1, 134 , 0.336, 0.865 , Single , 4, 
1di6, A, 1, 183 , 0.333, 0.895 , Single , 1, 
1jni, A, 1, 62 , 0.145, 0.801 , Single , 4, 
1eni, A, 1, 137 , 0.241, 0.744 , Single , 2, 
1a2a, A, 1, 122 , 0.32, 0.767 , Single , 1, 
1y1e, X, 1, 272 , 0.32, 0.894 , Single , 1, 
1d6g, A, 1, 47 , 0.128, 0.572 , Single , 2, 
2o34, A, 1, 241 , 0.282, 0.811 , Single , 3, 
1af5, A, 1, 126 , 0.27, 0.776 , Single , 1, 
1fcd, A, 3, 401 , 0.105, 0.719 , Multi , 2, 
1iu3, C, 1, 115 , 0.243, 0.815 , Single , 1, 
1aho, A, 1, 66 , 0.439, 0.830 , Single , 3, 
2iwm, A, 1, 334 , 0.171, 0.870 , Multi , 1, 
1an1, I, 1, 40 , 0.575, 0.759 , Single , 1, 
1drt, A, 1, 315 , 0.267, 0.825 , Single , 1, 
1i5h, W, 1, 50 , 0.26, 0.671 , Single , 2, 
1mvf, A, 1, 126 , 0.389, 0.763 , Single , 1, 
1i51, E, 1, 18 , 0.111, 0.396 , Single , 2, 
1hp8, A, 1, 68 , 0.441, 0.703 , Single , 3, 
1h5p, A, 1, 95 , 0.337, 0.810 , Single , 1, 
1j1v, A, 1, 92 , 0.5, 0.865 , Single , 4, 
1nxz, A, 2, 242 , 0.14, 0.628 , Multi , 2, 
1kaf, A, 1, 108 , 0.398, 0.858 , Single , 1, 
2nqw, A, 1, 96 , 0.573, 0.890 , Single , 3, 
1xjh, A, 1, 62 , 0.29, 0.705 , Single , 2, 
1jb7, B, 1, 226 , 0.066, 0.599 , Multi , 2, 
1g3j, A, 1, 522 , 0.09, 0.461 , Multi , 2, 
1bk7, A, 1, 190 , 0.242, 0.808 , Single , 1, 
1f82, A, 1, 424 , 0.196, 0.840 , Multi , 1, 
1wib, A, 1, 92 , 0.174, 0.763 , Single , 1, 
1at3, A, 1, 217 , 0.369, 0.889 , Single , 1, 
1e5k, A, 1, 188 , 0.266, 0.914 , Single , 1, 
1cmi, A, 1, 85 , 0.494, 0.880 , Single , 1, 
1cmx, A, 1, 214 , 0.252, 0.911 , Single , 1, 
1qw2, A, 1, 97 , 0.309, 0.793 , Single , 1, 
1pg6, A, 1, 206 , 0.15, 0.818 , Multi , 1, 
1dtd, B, 1, 61 , 0.443, 0.864 , Single , 1, 
1bm8, A, 1, 99 , 0.374, 0.913 , Single , 1, 
1a1t, A, 1, 55 , 0.255, 0.604 , Single , 2, 
1ahq, A, 1, 133 , 0.421, 0.839 , Single , 1, 
1hnr, A, 1, 47 , 0.426, 0.801 , Single , 1, 
1fle, I, 1, 47 , 0.362, 0.653 , Single , 2, 
1d5y, A, 3, 288 , 0.247, 0.758 , Single , 1, 
1j0t, A, 1, 78 , 0.397, 0.772 , Single , 1, 
4mt2, A, 1, 61 , 0.066, 0.513 , Single , 2, 
2odk, A, 1, 61 , 0.197, 0.685 , Single , 2, 
1af7, A, 2, 274 , 0.117, 0.740 , Multi , 2, 
1dd3, A, 2, 128 , 0.109, 0.498 , Single , 2, 
1rv9, A, 1, 242 , 0.421, 0.844 , Single , 3, 
1jvr, A, 1, 137 , 0.015, 0.392 , Single , 2, 
1b6e, A, 1, 121 , 0.372, 0.868 , Single , 1, 
2atz, A, 1, 172 , 0.244, 0.865 , Single , 1, 
1abv, A, 1, 105 , 0.41, 0.757 , Single , 1, 
1gcc, A, 1, 63 , 0.476, 0.791 , Single , 1, 
1qze, A, 4, 214 , 0.0, 0.481 , Multi , 3, 
1dmg, A, 1, 172 , 0.279, 0.839 , Single , 1, 
1aui, A, 1, 378 , 0.257, 0.847 , Single , 1, 
1aml, A, 1, 40 , 0.275, 0.638 , Single , 2, 
1ap9, A, 1, 219 , 0.333, 0.744 , Single , 2, 
1a0a, A, 1, 63 , 0.159, 0.526 , Single , 2, 
1b9c, A, 1, 224 , 0.29, 0.778 , Single , 1, 
1qhb, A, 1, 595 , 0.158, 0.803 , Multi , 1, 
1f75, A, 1, 217 , 0.166, 0.873 , Multi , 1, 
1yoz, A, 1, 113 , 0.336, 0.662 , Single , 2, 
1wn9, A, 1, 123 , 0.463, 0.916 , Single , 3, 
1l3a, A, 1, 166 , 0.193, 0.786 , Multi , 1, 
1o22, A, 1, 146 , 0.233, 0.706 , Single , 2, 
1is7, K, 1, 84 , 0.274, 0.853 , Single , 3, 
1eyu, A, 1, 156 , 0.237, 0.783 , Single , 1, 
1j5y, A, 2, 167 , 0.138, 0.544 , Multi , 2, 
1ro7, A, 1, 255 , 0.216, 0.911 , Single , 1, 
2sic, E, 1, 275 , 0.367, 0.916 , Single , 3, 
1gz0, A, 2, 235 , 0.145, 0.611 , Multi , 2, 
1qqh, A, 1, 144 , 0.243, 0.657 , Single , 2, 
1xn8, A, 1, 131 , 0.267, 0.657 , Single , 2, 
1e79, F, 3, 466 , 0.131, 0.678 , Multi , 2, 
1y7e, A, 2, 397 , 0.123, 0.731 , Multi , 2, 
1lg7, A, 1, 163 , 0.301, 0.793 , Single , 1, 
1q90, B, 1, 212 , 0.212, 0.690 , Single , 2, 
1b65, A, 1, 363 , 0.295, 0.835 , Single , 1, 
1ckl, A, 2, 126 , 0.048, 0.442 , Single , 2, 
1t57, A, 1, 179 , 0.402, 0.909 , Single , 4, 
1a6f, A, 1, 113 , 0.398, 0.849 , Single , 1, 
3bwg, A, 2, 222 , 0.072, 0.653 , Multi , 2, 
1xfh, A, 1, 405 , 0.274, 0.794 , Single , 1, 
1ewr, A, 3, 440 , 0.173, 0.750 , Multi , 1, 
1i5j, A, 1, 67 , 0.284, 0.681 , Single , 3, 
1ml9, A, 1, 260 , 0.246, 0.843 , Single , 1, 
1dqc, A, 1, 73 , 0.219, 0.667 , Single , 2, 
1ihn, A, 1, 111 , 0.514, 0.885 , Single , 3, 
1eo8, B, 1, 175 , 0.114, 0.436 , Multi , 2, 
2gkp, A, 1, 178 , 0.365, 0.882 , Single , 3, 
1aoo, A, 1, 40 , 0.55, 0.825 , Single , 3, 
1t07, A, 1, 78 , 0.244, 0.703 , Single , 2, 
1ff3, A, 1, 210 , 0.305, 0.864 , Single , 3, 
2ooj, A, 1, 129 , 0.248, 0.713 , Single , 2, 
1pv5, A, 1, 263 , 0.247, 0.774 , Single , 1, 
1a0k, A, 1, 130 , 0.338, 0.901 , Single , 1, 
3ci0, I, 1, 81 , 0.358, 0.634 , Single , 2, 
1g13, A, 1, 160 , 0.244, 0.782 , Single , 1, 
1dj7, A, 1, 109 , 0.339, 0.817 , Single , 3, 
1b78, A, 1, 184 , 0.136, 0.659 , Multi , 2, 
1a30, A, 1, 99 , 0.444, 0.842 , Single , 1, 
1a8y, A, 3, 338 , 0.074, 0.726 , Multi , 3, 
1f46, A, 1, 139 , 0.396, 0.791 , Single , 1, 
2hr7, A, 3, 468 , 0.049, 0.407 , Multi , 2, 
1i9b, A, 1, 205 , 0.229, 0.712 , Single , 2, 
1xx7, A, 1, 172 , 0.215, 0.837 , Single , 3, 
1c5a, A, 1, 65 , 0.508, 0.818 , Single , 1, 
1akz, A, 1, 223 , 0.256, 0.847 , Single , 1, 
1ay9, A, 1, 108 , 0.278, 0.745 , Single , 2, 
1g72, A, 1, 571 , 0.291, 0.927 , Single , 1, 
1a45, A, 2, 173 , 0.052, 0.631 , Multi , 2, 
1g24, A, 1, 211 , 0.223, 0.814 , Single , 1, 
1p32, A, 1, 182 , 0.198, 0.638 , Multi , 2, 
1a44, A, 1, 185 , 0.378, 0.891 , Single , 1, 
1afr, A, 1, 345 , 0.226, 0.775 , Single , 1, 
1aer, A, 1, 205 , 0.244, 0.769 , Single , 1, 
1afh, A, 1, 93 , 0.581, 0.820 , Single , 1, 
1rq6, A, 1, 62 , 0.387, 0.846 , Single , 1, 
1jos, A, 1, 102 , 0.363, 0.729 , Single , 2, 
1fwq, A, 1, 115 , 0.348, 0.836 , Single , 1, 
1vq0, A, 2, 290 , 0.052, 0.736 , Multi , 2, 
1nn4, A, 1, 159 , 0.522, 0.867 , Single , 3, 
1cfh, A, 1, 47 , 0.234, 0.701 , Single , 2, 
1g7d, A, 1, 106 , 0.368, 0.799 , Single , 1, 
1b4u, A, 1, 132 , 0.174, 0.767 , Single , 1, 
1a0n, B, 1, 58 , 0.638, 0.874 , Single , 5, 
1wid, A, 1, 117 , 0.333, 0.873 , Single , 1, 
1erc, A, 1, 40 , 0.8, 0.752 , Single , 1, 
1jad, A, 1, 235 , 0.132, 0.401 , Multi , 2, 
1gv8, A, 1, 159 , 0.352, 0.876 , Single , 1, 
1jbg, A, 1, 106 , 0.094, 0.588 , Single , 2, 
1b2v, A, 1, 173 , 0.341, 0.823 , Single , 1, 
1cjx, A, 2, 352 , 0.239, 0.838 , Single , 1, 
2o8i, A, 1, 154 , 0.188, 0.694 , Single , 2, 
1lkf, A, 1, 292 , 0.219, 0.575 , Single , 2, 
1ux6, A, 2, 335 , 0.206, 0.730 , Single , 2, 
1yua, A, 2, 122 , 0.23, 0.744 , Single , 2, 
1gd8, A, 1, 105 , 0.371, 0.744 , Single , 2, 
1a91, A, 1, 79 , 0.253, 0.413 , Single , 2, 
1a3a, A, 1, 145 , 0.331, 0.870 , Single , 1, 
1fsi, A, 1, 179 , 0.24, 0.787 , Single , 1, 
1olz, A, 3, 621 , 0.161, 0.700 , Multi , 2, 
1gvm, A, 1, 127 , 0.15, 0.530 , Single , 2, 
1f0j, A, 1, 351 , 0.245, 0.904 , Single , 1, 
2pv7, A, 2, 270 , 0.081, 0.619 , Multi , 2, 
2fb1, A, 2, 215 , 0.121, 0.675 , Multi , 2, 
1m1p, A, 1, 87 , 0.23, 0.725 , Single , 2, 
1qz4, A, 1, 213 , 0.272, 0.888 , Single , 1, 
1ahj, A, 1, 198 , 0.056, 0.763 , Multi , 1, 
1bs2, A, 3, 603 , 0.095, 0.675 , Multi , 2, 
1a22, A, 1, 180 , 0.289, 0.725 , Single , 2, 
1nlt, A, 3, 228 , 0.105, 0.406 , Multi , 2, 
1ck2, A, 1, 104 , 0.481, 0.881 , Single , 3, 
1hky, A, 1, 86 , 0.093, 0.786 , Single , 1, 
1m6b, A, 4, 549 , 0.058, 0.500 , Multi , 2, 
1ow1, A, 1, 167 , 0.371, 0.911 , Single , 3, 
1aqa, A, 1, 84 , 0.512, 0.874 , Single , 1, 
1kpt, A, 1, 105 , 0.457, 0.861 , Single , 1, 
1dvo, A, 1, 152 , 0.118, 0.511 , Single , 2, 
1e52, A, 1, 56 , 0.321, 0.515 , Single , 2, 
1fw2, A, 1, 257 , 0.304, 0.796 , Single , 1, 
